Entry,Entry Name
A6NHR9,SMHD1_HUMAN
A6NI15,MSGN1_HUMAN
A6NI61,MYMK_HUMAN
A6NI73,LIRA5_HUMAN
A6NIH7,U119B_HUMAN
A6NIX2,WTIP_HUMAN
A6NJ46,NKX63_HUMAN
A6NJ78,MET15_HUMAN
A6NK06,IRG1_HUMAN
A6NK58,LIPT2_HUMAN
A6NK89,RASFA_HUMAN
A6NKB5,PCX2_HUMAN
A6NL88,SHSA7_HUMAN
A6NMY6,AXA2L_HUMAN
A6NMZ7,CO6A6_HUMAN
A6NNB3,IFM5_HUMAN
A6NNM8,TTL13_HUMAN
A6NNY8,UBP27_HUMAN
A6NNZ2,TBB8B_HUMAN
A6PVC2,TTLL8_HUMAN
A7E2V4,ZSWM8_HUMAN
A7E2Y1,MYH7B_HUMAN
A7KAX9,RHG32_HUMAN
A7MCY6,TBKB1_HUMAN
A7MD48,SRRM4_HUMAN
A7XYQ1,SOBP_HUMAN
A8CG34,P121C_HUMAN
A8K0Z3,WASH1_HUMAN
A8K2U0,A2ML1_HUMAN
A8K4G0,CLM7_HUMAN
A8K7I4,CLCA1_HUMAN
A8K830,OCAT2_HUMAN
A8K8P3,SFI1_HUMAN
A8K8V0,ZN785_HUMAN
A8MQ03,CRTP1_HUMAN
A8MQ27,NEU1B_HUMAN
A8MT69,CENPX_HUMAN
A8MTA8,F166B_HUMAN
A8MTJ3,GNAT3_HUMAN
A8MTQ0,NOTO_HUMAN
A8MTZ0,BBIP1_HUMAN
A8MU46,SMTL1_HUMAN
A8MUP2,CSKMT_HUMAN
A8MV65,VGLL3_HUMAN
A8MVW5,HECA2_HUMAN
A8MW92,P20L1_HUMAN
A8MW95,BECN2_HUMAN
A8MW99,MEI4_HUMAN
A8MXD5,GRCR1_HUMAN
A8MXV4,NUD19_HUMAN
A8MYU2,KCNU1_HUMAN
A8MZ59,LEUTX_HUMAN
A8TX70,CO6A5_HUMAN
A9QM74,IMA8_HUMAN
A9UHW6,MI4GD_HUMAN
A9YTQ3,AHRR_HUMAN
B0I1T2,MYO1G_HUMAN
B0L3A2,DEAR_HUMAN
B0YJ81,HACD1_HUMAN
B1AK53,ESPN_HUMAN
B2RTY4,MYO9A_HUMAN
B2RUY7,VWC2L_HUMAN
B2RUZ4,SMIM1_HUMAN
B2RXF5,ZBT42_HUMAN
B2RXH2,KDM4E_HUMAN
B3KU38,IQIP1_HUMAN
B6A8C7,TARM1_HUMAN
B7U540,KCJ18_HUMAN
B7ZAQ6,GPHRA_HUMAN
C4AMC7,WASH3_HUMAN
C9JE40,PATL2_HUMAN
C9JLW8,MCRI1_HUMAN
C9JR72,KBTBD_HUMAN
C9JRZ8,AK1BF_HUMAN
D3W0D1,KLRF2_HUMAN
D6RGH6,MCIN_HUMAN
E0CX11,STMP1_HUMAN
F5H094,SO1BT_HUMAN
G2XKQ0,SUMO5_HUMAN
H0YL14,TM250_HUMAN
K7EJ46,SIM22_HUMAN
K9M1U5,IFNL4_HUMAN
L0R8F8,MIDUO_HUMAN
M0R2J8,DCDC1_HUMAN
O00115,DNS2A_HUMAN
O00116,ADAS_HUMAN
O00124,UBXN8_HUMAN
O00139,KIF2A_HUMAN
O00141,SGK1_HUMAN
O00142,KITM_HUMAN
O00144,FZD9_HUMAN
O00148,DX39A_HUMAN
O00151,PDLI1_HUMAN
O00154,BACH_HUMAN
O00155,GPR25_HUMAN
O00159,MYO1C_HUMAN
O00160,MYO1F_HUMAN
O00161,SNP23_HUMAN
O00165,HAX1_HUMAN
O00167,EYA2_HUMAN
O00168,PLM_HUMAN
O00170,AIP_HUMAN
O00175,CCL24_HUMAN
O00180,KCNK1_HUMAN
O00182,LEG9_HUMAN
O00186,STXB3_HUMAN
O00187,MASP2_HUMAN
O00189,AP4M1_HUMAN
O00192,ARVC_HUMAN
O00194,RB27B_HUMAN
O00198,HRK_HUMAN
O00203,AP3B1_HUMAN
O00204,ST2B1_HUMAN
O00206,TLR4_HUMAN
O00212,RHOD_HUMAN
O00213,APBB1_HUMAN
O00214,LEG8_HUMAN
O00217,NDUS8_HUMAN
O00219,HYAS3_HUMAN
O00220,TR10A_HUMAN
O00221,IKBE_HUMAN
O00222,GRM8_HUMAN
O00231,PSD11_HUMAN
O00232,PSD12_HUMAN
O00233,PSMD9_HUMAN
O00237,RN103_HUMAN
O00238,BMR1B_HUMAN
O00241,SIRB1_HUMAN
O00244,ATOX1_HUMAN
O00253,AGRP_HUMAN
O00254,PAR3_HUMAN
O00255,MEN1_HUMAN
O00257,CBX4_HUMAN
O00258,GET1_HUMAN
O00264,PGRC1_HUMAN
O00267,SPT5H_HUMAN
O00268,TAF4_HUMAN
O00270,GPR31_HUMAN
O00273,DFFA_HUMAN
O00287,RFXAP_HUMAN
O00291,HIP1_HUMAN
O00292,LFTY2_HUMAN
O00294,TULP1_HUMAN
O00299,CLIC1_HUMAN
O00300,TR11B_HUMAN
O00303,EIF3F_HUMAN
O00305,CACB4_HUMAN
O00308,WWP2_HUMAN
O00311,CDC7_HUMAN
O00322,UPK1A_HUMAN
O00327,BMAL1_HUMAN
O00329,PK3CD_HUMAN
O00330,ODPX_HUMAN
O00337,S28A1_HUMAN
O00338,ST1C2_HUMAN
O00339,MATN2_HUMAN
O00341,EAA5_HUMAN
O00358,FOXE1_HUMAN
O00370,LORF2_HUMAN
O00391,QSOX1_HUMAN
O00399,DCTN6_HUMAN
O00400,ACATN_HUMAN
O00401,WASL_HUMAN
O00408,PDE2A_HUMAN
O00409,FOXN3_HUMAN
O00410,IPO5_HUMAN
O00411,RPOM_HUMAN
O00418,EF2K_HUMAN
O00421,CCRL2_HUMAN
O00422,SAP18_HUMAN
O00423,EMAL1_HUMAN
O00425,IF2B3_HUMAN
O00429,DNM1L_HUMAN
O00442,RTCA_HUMAN
O00443,P3C2A_HUMAN
O00444,PLK4_HUMAN
O00445,SYT5_HUMAN
O00451,GFRA2_HUMAN
O00453,LST1_HUMAN
O00459,P85B_HUMAN
O00461,GOLI4_HUMAN
O00462,MANBA_HUMAN
O00463,TRAF5_HUMAN
O00468,AGRIN_HUMAN
O00469,PLOD2_HUMAN
O00470,MEIS1_HUMAN
O00471,EXOC5_HUMAN
O00472,ELL2_HUMAN
O00476,NPT4_HUMAN
O00478,BT3A3_HUMAN
O00481,BT3A1_HUMAN
O00482,NR5A2_HUMAN
O00483,NDUA4_HUMAN
O00487,PSDE_HUMAN
O00488,ZN593_HUMAN
O00499,BIN1_HUMAN
O00501,CLD5_HUMAN
O00505,IMA4_HUMAN
O00506,STK25_HUMAN
O00507,USP9Y_HUMAN
O00512,BCL9_HUMAN
O00519,FAAH1_HUMAN
O00522,KRIT1_HUMAN
O00526,UPK2_HUMAN
O00533,NCHL1_HUMAN
O00541,PESC_HUMAN
O00548,DLL1_HUMAN
O00555,CAC1A_HUMAN
O00559,RCAS1_HUMAN
O00560,SDCB1_HUMAN
O00562,PITM1_HUMAN
O00566,MPP10_HUMAN
O00567,NOP56_HUMAN
O00571,DDX3X_HUMAN
O00574,CXCR6_HUMAN
O00584,RNT2_HUMAN
O00585,CCL21_HUMAN
O00587,MFNG_HUMAN
O00590,ACKR2_HUMAN
O00591,GBRP_HUMAN
O00592,PODXL_HUMAN
O00602,FCN1_HUMAN
O00622,CCN1_HUMAN
O00623,PEX12_HUMAN
O00625,PIR_HUMAN
O00626,CCL22_HUMAN
O00628,PEX7_HUMAN
O00629,IMA3_HUMAN
O00631,SARCO_HUMAN
O00635,TRI38_HUMAN
O00712,NFIB_HUMAN
O00716,E2F3_HUMAN
O00743,PPP6_HUMAN
O00744,WN10B_HUMAN
O00746,NDKM_HUMAN
O00748,EST2_HUMAN
O00750,P3C2B_HUMAN
O00754,MA2B1_HUMAN
O00755,WNT7A_HUMAN
O00757,F16P2_HUMAN
O00762,UBE2C_HUMAN
O00763,ACACB_HUMAN
O00764,PDXK_HUMAN
O00767,SCD_HUMAN
O14490,DLGP1_HUMAN
O14492,SH2B2_HUMAN
O14493,CLD4_HUMAN
O14494,PLPP1_HUMAN
O14495,PLPP3_HUMAN
O14497,ARI1A_HUMAN
O14503,BHE40_HUMAN
O14508,SOCS2_HUMAN
O14511,NRG2_HUMAN
O14512,SOCS7_HUMAN
O14514,AGRB1_HUMAN
O14519,CDKA1_HUMAN
O14520,AQP7_HUMAN
O14521,DHSD_HUMAN
O14522,PTPRT_HUMAN
O14523,C2C2L_HUMAN
O14524,NEMP1_HUMAN
O14525,ASTN1_HUMAN
O14526,FCHO1_HUMAN
O14529,CUX2_HUMAN
O14530,TXND9_HUMAN
O14531,DPYL4_HUMAN
O14543,SOCS3_HUMAN
O14544,SOCS6_HUMAN
O14556,G3PT_HUMAN
O14558,HSPB6_HUMAN
O14559,RHG33_HUMAN
O14561,ACPM_HUMAN
O14569,C56D2_HUMAN
O14576,DC1I1_HUMAN
O14578,CTRO_HUMAN
O14579,COPE_HUMAN
O14593,RFXK_HUMAN
O14594,NCAN_HUMAN
O14595,CTDS2_HUMAN
O14607,UTY_HUMAN
O14610,GBGT2_HUMAN
O14613,BORG1_HUMAN
O14617,AP3D1_HUMAN
O14618,CCS_HUMAN
O14625,CXL11_HUMAN
O14627,CDX4_HUMAN
O14628,ZN195_HUMAN
O14633,LCE2B_HUMAN
O14638,ENPP3_HUMAN
O14639,ABLM1_HUMAN
O14640,DVL1_HUMAN
O14641,DVL2_HUMAN
O14645,IDLC_HUMAN
O14646,CHD1_HUMAN
O14647,CHD2_HUMAN
O14649,KCNK3_HUMAN
O14653,GOSR2_HUMAN
O14654,IRS4_HUMAN
O14656,TOR1A_HUMAN
O14657,TOR1B_HUMAN
O14662,STX16_HUMAN
O14669,TMG2_HUMAN
O14672,ADA10_HUMAN
O14678,ABCD4_HUMAN
O14681,EI24_HUMAN
O14682,ENC1_HUMAN
O14684,PTGES_HUMAN
O14686,KMT2D_HUMAN
O14713,ITBP1_HUMAN
O14717,TRDMT_HUMAN
O14727,APAF_HUMAN
O14730,RIOK3_HUMAN
O14732,IMPA2_HUMAN
O14733,MP2K7_HUMAN
O14734,ACOT8_HUMAN
O14735,CDIPT_HUMAN
O14737,PDCD5_HUMAN
O14744,ANM5_HUMAN
O14745,NHRF1_HUMAN
O14746,TERT_HUMAN
O14756,H17B6_HUMAN
O14757,CHK1_HUMAN
O14763,TR10B_HUMAN
O14764,GBRD_HUMAN
O14770,MEIS2_HUMAN
O14771,ZN213_HUMAN
O14772,FPGT_HUMAN
O14773,TPP1_HUMAN
O14775,GNB5_HUMAN
O14776,TCRG1_HUMAN
O14777,NDC80_HUMAN
O14782,KIF3C_HUMAN
O14786,NRP1_HUMAN
O14787,TNPO2_HUMAN
O14788,TNF11_HUMAN
O14791,APOL1_HUMAN
O14792,HS3S1_HUMAN
O14793,GDF8_HUMAN
O14795,UN13B_HUMAN
O14796,SH21B_HUMAN
O14798,TR10C_HUMAN
O14802,RPC1_HUMAN
O14804,TAAR5_HUMAN
O14807,RASM_HUMAN
O14810,CPLX1_HUMAN
O14813,PHX2A_HUMAN
O14815,CAN9_HUMAN
O14817,TSN4_HUMAN
O14818,PSA7_HUMAN
O14827,RGRF2_HUMAN
O14828,SCAM3_HUMAN
O14829,PPE1_HUMAN
O14830,PPE2_HUMAN
O14832,PAHX_HUMAN
O14836,TR13B_HUMAN
O14841,OPLA_HUMAN
O14842,FFAR1_HUMAN
O14843,FFAR3_HUMAN
O14862,AIM2_HUMAN
O14863,ZNT4_HUMAN
O14867,BACH1_HUMAN
O14874,BCKD_HUMAN
O14879,IFIT3_HUMAN
O14880,MGST3_HUMAN
O14893,GEMI2_HUMAN
O14894,T4S5_HUMAN
O14896,IRF6_HUMAN
O14901,KLF11_HUMAN
O14904,WNT9A_HUMAN
O14905,WNT9B_HUMAN
O14907,TX1B3_HUMAN
O14908,GIPC1_HUMAN
O14910,LIN7A_HUMAN
O14917,PCD17_HUMAN
O14920,IKKB_HUMAN
O14924,RGS12_HUMAN
O14925,TIM23_HUMAN
O14926,FSCN2_HUMAN
O14929,HAT1_HUMAN
O14931,NCTR3_HUMAN
O14933,UB2L6_HUMAN
O14936,CSKP_HUMAN
O14939,PLD2_HUMAN
O14944,EREG_HUMAN
O14948,TFEC_HUMAN
O14949,QCR8_HUMAN
O14950,ML12B_HUMAN
O14958,CASQ2_HUMAN
O14960,LECT2_HUMAN
O14964,HGS_HUMAN
O14965,AURKA_HUMAN
O14966,RAB7L_HUMAN
O14967,CLGN_HUMAN
O14972,VP26C_HUMAN
O14974,MYPT1_HUMAN
O14975,S27A2_HUMAN
O14976,GAK_HUMAN
O14977,AZIN1_HUMAN
O14978,ZN263_HUMAN
O14979,HNRDL_HUMAN
O14980,XPO1_HUMAN
O14981,BTAF1_HUMAN
O14983,AT2A1_HUMAN
O14986,PI51B_HUMAN
O14994,SYN3_HUMAN
O15013,ARHGA_HUMAN
O15014,ZN609_HUMAN
O15015,ZN646_HUMAN
O15018,PDZD2_HUMAN
O15020,SPTN2_HUMAN
O15021,MAST4_HUMAN
O15027,SC16A_HUMAN
O15031,PLXB2_HUMAN
O15033,AREL1_HUMAN
O15040,TCPR2_HUMAN
O15041,SEM3E_HUMAN
O15042,SR140_HUMAN
O15047,SET1A_HUMAN
O15049,N4BP3_HUMAN
O15054,KDM6B_HUMAN
O15055,PER2_HUMAN
O15056,SYNJ2_HUMAN
O15060,ZBT39_HUMAN
O15061,SYNEM_HUMAN
O15062,ZBTB5_HUMAN
O15066,KIF3B_HUMAN
O15067,PUR4_HUMAN
O15068,MCF2L_HUMAN
O15072,ATS3_HUMAN
O15075,DCLK1_HUMAN
O15078,CE290_HUMAN
O15079,SNPH_HUMAN
O15083,ERC2_HUMAN
O15084,ANR28_HUMAN
O15085,ARHGB_HUMAN
O15091,MRPP3_HUMAN
O15105,SMAD7_HUMAN
O15111,IKKA_HUMAN
O15116,LSM1_HUMAN
O15117,FYB1_HUMAN
O15118,NPC1_HUMAN
O15119,TBX3_HUMAN
O15120,PLCB_HUMAN
O15121,DEGS1_HUMAN
O15123,ANGP2_HUMAN
O15126,SCAM1_HUMAN
O15127,SCAM2_HUMAN
O15130,NPFF_HUMAN
O15131,IMA6_HUMAN
O15143,ARC1B_HUMAN
O15144,ARPC2_HUMAN
O15145,ARPC3_HUMAN
O15146,MUSK_HUMAN
O15151,MDM4_HUMAN
O15155,BET1_HUMAN
O15156,ZBT7B_HUMAN
O15160,RPAC1_HUMAN
O15162,PLS1_HUMAN
O15164,TIF1A_HUMAN
O15165,LRAD4_HUMAN
O15169,AXIN1_HUMAN
O15173,PGRC2_HUMAN
O15178,TBXT_HUMAN
O15182,CETN3_HUMAN
O15194,CTDSL_HUMAN
O15195,VILL_HUMAN
O15197,EPHB6_HUMAN
O15198,SMAD9_HUMAN
O15204,ADEC1_HUMAN
O15205,UBD_HUMAN
O15209,ZBT22_HUMAN
O15211,RGL2_HUMAN
O15212,PFD6_HUMAN
O15213,WDR46_HUMAN
O15217,GSTA4_HUMAN
O15226,NKRF_HUMAN
O15228,GNPAT_HUMAN
O15229,KMO_HUMAN
O15230,LAMA5_HUMAN
O15231,ZN185_HUMAN
O15232,MATN3_HUMAN
O15234,CASC3_HUMAN
O15239,NDUA1_HUMAN
O15240,VGF_HUMAN
O15243,OBRG_HUMAN
O15244,S22A2_HUMAN
O15245,S22A1_HUMAN
O15247,CLIC2_HUMAN
O15254,ACOX3_HUMAN
O15258,RER1_HUMAN
O15259,NPHP1_HUMAN
O15260,SURF4_HUMAN
O15263,DFB4A_HUMAN
O15264,MK13_HUMAN
O15265,ATX7_HUMAN
O15266,SHOX_HUMAN
O15269,SPTC1_HUMAN
O15270,SPTC2_HUMAN
O15273,TELT_HUMAN
O15287,FANCG_HUMAN
O15294,OGT1_HUMAN
O15296,LX15B_HUMAN
O15297,PPM1D_HUMAN
O15303,GRM6_HUMAN
O15304,SIVA_HUMAN
O15305,PMM2_HUMAN
O15315,RA51B_HUMAN
O15318,RPC7_HUMAN
O15327,INP4B_HUMAN
O15342,VA0E1_HUMAN
O15344,TRI18_HUMAN
O15347,HMGB3_HUMAN
O15350,P73_HUMAN
O15353,FOXN1_HUMAN
O15354,GPR37_HUMAN
O15355,PPM1G_HUMAN
O15357,SHIP2_HUMAN
O15360,FANCA_HUMAN
O15371,EIF3D_HUMAN
O15372,EIF3H_HUMAN
O15374,MOT5_HUMAN
O15379,HDAC3_HUMAN
O15381,NVL_HUMAN
O15382,BCAT2_HUMAN
O15389,SIGL5_HUMAN
O15391,TYY2_HUMAN
O15392,BIRC5_HUMAN
O15393,TMPS2_HUMAN
O15394,NCAM2_HUMAN
O15397,IPO8_HUMAN
O15399,NMDE4_HUMAN
O15400,STX7_HUMAN
O15405,TOX3_HUMAN
O15409,FOXP2_HUMAN
O15427,MOT4_HUMAN
O15431,COPT1_HUMAN
O15432,COPT2_HUMAN
O15438,MRP3_HUMAN
O15439,MRP4_HUMAN
O15440,MRP5_HUMAN
O15444,CCL25_HUMAN
O15446,RPA34_HUMAN
O15455,TLR3_HUMAN
O15457,MSH4_HUMAN
O15460,P4HA2_HUMAN
O15466,SIA8E_HUMAN
O15467,CCL16_HUMAN
O15479,MAGB2_HUMAN
O15481,MAGB4_HUMAN
O15484,CAN5_HUMAN
O15488,GLYG2_HUMAN
O15492,RGS16_HUMAN
O15496,PA2GX_HUMAN
O15498,YKT6_HUMAN
O15499,GSC2_HUMAN
O15503,INSI1_HUMAN
O15504,NUP42_HUMAN
O15511,ARPC5_HUMAN
O15514,RPB4_HUMAN
O15516,CLOCK_HUMAN
O15519,CFLAR_HUMAN
O15520,FGF10_HUMAN
O15522,NKX28_HUMAN
O15523,DDX3Y_HUMAN
O15524,SOCS1_HUMAN
O15525,MAFG_HUMAN
O15527,OGG1_HUMAN
O15528,CP27B_HUMAN
O15529,GPR42_HUMAN
O15530,PDPK1_HUMAN
O15533,TPSN_HUMAN
O15534,PER1_HUMAN
O15535,ZSC9_HUMAN
O15537,XLRS1_HUMAN
O15540,FABP7_HUMAN
O15541,R113A_HUMAN
O15547,P2RX6_HUMAN
O15550,KDM6A_HUMAN
O15551,CLD3_HUMAN
O15552,FFAR2_HUMAN
O15553,MEFV_HUMAN
O15554,KCNN4_HUMAN
O42043,ENK18_HUMAN
O43143,DHX15_HUMAN
O43147,SGSM2_HUMAN
O43148,MCES_HUMAN
O43149,ZZEF1_HUMAN
O43150,ASAP2_HUMAN
O43151,TET3_HUMAN
O43155,FLRT2_HUMAN
O43156,TTI1_HUMAN
O43157,PLXB1_HUMAN
O43159,RRP8_HUMAN
O43164,PJA2_HUMAN
O43166,SI1L1_HUMAN
O43167,ZBT24_HUMAN
O43169,CYB5B_HUMAN
O43172,PRP4_HUMAN
O43173,SIA8C_HUMAN
O43174,CP26A_HUMAN
O43175,SERA_HUMAN
O43181,NDUS4_HUMAN
O43182,RHG06_HUMAN
O43184,ADA12_HUMAN
O43186,CRX_HUMAN
O43187,IRAK2_HUMAN
O43189,PHF1_HUMAN
O43193,MTLR_HUMAN
O43194,GPR39_HUMAN
O43196,MSH5_HUMAN
O43236,SEPT4_HUMAN
O43237,DC1L2_HUMAN
O43240,KLK10_HUMAN
O43242,PSMD3_HUMAN
O43248,HXC11_HUMAN
O43251,RFOX2_HUMAN
O43252,PAPS1_HUMAN
O43255,SIAH2_HUMAN
O43257,ZNHI1_HUMAN
O43264,ZW10_HUMAN
O43272,PROD_HUMAN
O43278,SPIT1_HUMAN
O43280,TREA_HUMAN
O43281,EFS_HUMAN
O43283,M3K13_HUMAN
O43286,B4GT5_HUMAN
O43290,SNUT1_HUMAN
O43291,SPIT2_HUMAN
O43292,GPAA1_HUMAN
O43293,DAPK3_HUMAN
O43294,TGFI1_HUMAN
O43295,SRGP3_HUMAN
O43296,ZN264_HUMAN
O43298,ZBT43_HUMAN
O43299,AP5Z1_HUMAN
O43300,LRRT2_HUMAN
O43303,CP110_HUMAN
O43306,ADCY6_HUMAN
O43307,ARHG9_HUMAN
O43309,ZSC12_HUMAN
O43310,CTIF_HUMAN
O43312,MTSS1_HUMAN
O43313,ATMIN_HUMAN
O43314,VIP2_HUMAN
O43315,AQP9_HUMAN
O43316,PAX4_HUMAN
O43318,M3K7_HUMAN
O43320,FGF16_HUMAN
O43323,DHH_HUMAN
O43324,MCA3_HUMAN
O43353,RIPK2_HUMAN
O43364,HXA2_HUMAN
O43365,HXA3_HUMAN
O43374,RASL2_HUMAN
O43379,WDR62_HUMAN
O43390,HNRPR_HUMAN
O43395,PRPF3_HUMAN
O43396,TXNL1_HUMAN
O43399,TPD54_HUMAN
O43402,EMC8_HUMAN
O43405,COCH_HUMAN
O43422,P52K_HUMAN
O43424,GRID2_HUMAN
O43426,SYNJ1_HUMAN
O43427,FIBP_HUMAN
O43432,IF4G3_HUMAN
O43435,TBX1_HUMAN
O43439,MTG8R_HUMAN
O43447,PPIH_HUMAN
O43451,MGA_HUMAN
O43462,MBTP2_HUMAN
O43463,SUV91_HUMAN
O43464,HTRA2_HUMAN
O43474,KLF4_HUMAN
O43482,MS18B_HUMAN
O43488,ARK72_HUMAN
O43490,PROM1_HUMAN
O43491,E41L2_HUMAN
O43493,TGON2_HUMAN
O43497,CAC1G_HUMAN
O43502,RA51C_HUMAN
O43504,LTOR5_HUMAN
O43505,B4GA1_HUMAN
O43506,ADA20_HUMAN
O43508,TNF12_HUMAN
O43511,S26A4_HUMAN
O43513,MED7_HUMAN
O43516,WIPF1_HUMAN
O43520,AT8B1_HUMAN
O43521,B2L11_HUMAN
O43524,FOXO3_HUMAN
O43525,KCNQ3_HUMAN
O43526,KCNQ2_HUMAN
O43529,CHSTA_HUMAN
O43541,SMAD6_HUMAN
O43542,XRCC3_HUMAN
O43543,XRCC2_HUMAN
O43548,TGM5_HUMAN
O43556,SGCE_HUMAN
O43557,TNF14_HUMAN
O43559,FRS3_HUMAN
O43561,LAT_HUMAN
O43566,RGS14_HUMAN
O43567,RNF13_HUMAN
O43570,CAH12_HUMAN
O43572,AKA10_HUMAN
O43581,SYT7_HUMAN
O43583,DENR_HUMAN
O43586,PPIP1_HUMAN
O43592,XPOT_HUMAN
O43593,HAIR_HUMAN
O43597,SPY2_HUMAN
O43598,DNPH1_HUMAN
O43602,DCX_HUMAN
O43603,GALR2_HUMAN
O43609,SPY1_HUMAN
O43610,SPY3_HUMAN
O43612,OREX_HUMAN
O43613,OX1R_HUMAN
O43614,OX2R_HUMAN
O43615,TIM44_HUMAN
O43617,TPPC3_HUMAN
O43623,SNAI2_HUMAN
O43633,CHM2A_HUMAN
O43639,NCK2_HUMAN
O43653,PSCA_HUMAN
O43660,PLRG1_HUMAN
O43663,PRC1_HUMAN
O43665,RGS10_HUMAN
O43670,ZN207_HUMAN
O43674,NDUB5_HUMAN
O43676,NDUB3_HUMAN
O43678,NDUA2_HUMAN
O43679,LDB2_HUMAN
O43680,TCF21_HUMAN
O43681,GET3_HUMAN
O43683,BUB1_HUMAN
O43684,BUB3_HUMAN
O43687,AKA7A_HUMAN
O43688,PLPP2_HUMAN
O43699,SIGL6_HUMAN
O43704,ST1B1_HUMAN
O43707,ACTN4_HUMAN
O43708,MAAI_HUMAN
O43709,BUD23_HUMAN
O43711,TLX3_HUMAN
O43715,TRIA1_HUMAN
O43716,GATC_HUMAN
O43719,HTSF1_HUMAN
O43731,ERD23_HUMAN
O43734,CIKS_HUMAN
O43739,CYH3_HUMAN
O43741,AAKB2_HUMAN
O43745,CHP2_HUMAN
O43747,AP1G1_HUMAN
O43749,OR1F1_HUMAN
O43752,STX6_HUMAN
O43759,SNG1_HUMAN
O43760,SNG2_HUMAN
O43761,SNG3_HUMAN
O43763,TLX2_HUMAN
O43765,SGTA_HUMAN
O43766,LIAS_HUMAN
O43768,ENSA_HUMAN
O43772,MCAT_HUMAN
O43776,SYNC_HUMAN
O43781,DYRK3_HUMAN
O43790,KRT86_HUMAN
O43791,SPOP_HUMAN
O43795,MYO1B_HUMAN
O43805,SSNA1_HUMAN
O43808,PM34_HUMAN
O43809,CPSF5_HUMAN
O43813,LANC1_HUMAN
O43815,STRN_HUMAN
